No.,AIR,Team Name,Institute Name,Member 1,Member 2,Member 3,Rating,Location
1,30,"<a class=""rated-user user-red"" href=""/profile/BhayanakMaut"" title=""Grandmaster BhayanakMaut"">BhayanakMau t</a>",IIIT-Delhi,"<a class=""rated-user user-red"" href=""/profile/cerberus97"" title=""Grandmaster cerberus97"">cerberus97</a>","<a class=""rated-user user-orange"" href=""/profile/polingy"" title=""Master polingy"">polingy</a>","<a class=""rated-user user-orange"" href=""/profile/JPSingh_ko_koot_diye "" title=""Master JPSingh_ko_koot_diye "">JPSingh_ko_ koot_diye</a>","<a class=""rated-user user-red"" href=""/profile/2558"" title=""Grandmaster 2558"">2558</a>",Gwalior
2,7,"<a class=""rated-user user-red"" href=""/profile/bits please"" title=""Grandmaster bits please"">bits please</a>",Indian Institute of Technology - Kanpur,"<a class=""rated-user user-red"" href=""/profile/yashChandnani"" title=""Grandmaster yashChandnani"">yashChandna ni</a>","<a class=""rated-user user-violet"" href=""/profile/gravito12345"" title=""Candidate master gravito12345"">gravito1234 5</a>","<a class=""rated-user user-violet"" href=""/profile/Beast_Within"" title=""Candidate master Beast_Within"">Beast_Withi n</a>","<a class=""rated-user user-red"" href=""/profile/2516"" title=""Grandmaster 2516"">2516</a>",Gwalior
3,10,"<a class=""rated-user user-red"" href=""/profile/Persistent Matroid"" title=""Grandmaster Persistent Matroid"">Persistent Matroid</a>",Indian Institute of Technology - Kharagpur,"<a class=""rated-user user-red"" href=""/profile/evil666man"" title=""Grandmaster evil666man"">evil666man</a>","<a class=""rated-user user-violet"" href=""/profile/Chenghiz"" title=""Candidate master Chenghiz"">Chenghiz</a>","<a class=""rated-user user-violet"" href=""/profile/ChestnutRice"" title=""Candidate master ChestnutRice"">ChestnutRic e</a>","<a class=""rated-user user-red"" href=""/profile/2468"" title=""Grandmaster 2468"">2468</a>",Gwalior
4,32,"<a class=""rated-user user-red"" href=""/profile/tesla_protocol"" title=""Grandmaster tesla_protocol"">tesla_proto col</a>",International Institute of Information Technology - Hyderabad,"<a class=""rated-user user-orange"" href=""/profile/codelegend"" title=""Master codelegend"">codelegend</a>","<a class=""rated-user user-orange"" href=""/profile/superty"" title=""Master superty"">superty</a>","<a class=""rated-user user-violet"" href=""/profile/virus_1010"" title=""Candidate master virus_1010"">virus_1010</a>","<a class=""rated-user user-red"" href=""/profile/2444"" title=""Grandmaster 2444"">2444</a>",Pune
5,5,"<a class=""rated-user user-red"" href=""/profile/Laila"" title=""Grandmaster Laila"">Laila</a>",Indian Institute of Technology - Roorkee,"<a class=""rated-user user-orange"" href=""/profile/sajal_"" title=""Master sajal_"">sajal_</a>","<a class=""rated-user user-orange"" href=""/profile/hm_98"" title=""Master hm_98"">hm_98</a>","<a class=""rated-user user-orange"" href=""/profile/abhishek_1997"" title=""Master abhishek_1997"">abhishek_19 97</a>","<a class=""rated-user user-red"" href=""/profile/2411"" title=""Grandmaster 2411"">2411</a>",Gwalior
6,145,"<a class=""rated-user user-orange"" href=""/profile/Candidate_Noobs"" title=""International master Candidate_Noobs"">Candidate_N oobs</a>","BITS-Pilani, Hyderabad Campus","<a class=""rated-user user-orange"" href=""/profile/Ashishgup"" title=""Master Ashishgup"">Ashishgup</a>","<a class=""rated-user user-violet"" href=""/profile/Mahir83"" title=""Candidate master Mahir83"">Mahir83</a>","<a class=""rated-user user-violet"" href=""/profile/Keyuuuu"" title=""Candidate master Keyuuuu"">Keyuuuu</a>","<a class=""rated-user user-orange"" href=""/profile/2347"" title=""International master 2347"">2347</a>",Pune
7,11,"<a class=""rated-user user-orange"" href=""/profile/ForTheDamagedCode"" title=""International master ForTheDamagedCode"">ForTheDamag edCode</a>","National Institute of Technology, Karnataka","<a class=""rated-user user-orange"" href=""/profile/guestcheap"" title=""Master guestcheap"">guestcheap</a>","<a class=""rated-user user-violet"" href=""/profile/xproxmess"" title=""Candidate master xproxmess"">xproxmess</a>","<a class=""rated-user user-violet"" href=""/profile/aj1729"" title=""Candidate master aj1729"">aj1729</a>","<a class=""rated-user user-orange"" href=""/profile/2324"" title=""International master 2324"">2324</a>",Pune
8,29,"<a class=""rated-user user-orange"" href=""/profile/ButterRoti"" title=""International master ButterRoti"">ButterRoti</a>",Indian Institute of Technology - Patna,"<a class=""rated-user user-orange"" href=""/profile/Equinox"" title=""Master Equinox"">Equinox</a>","<a class=""rated-user user-violet"" href=""/profile/Gear4"" title=""Candidate master Gear4"">Gear4</a>","<a class=""rated-user user-violet"" href=""/profile/I_Love_Equinox"" title=""Candidate master I_Love_Equinox"">I_Love_Equi nox</a>","<a class=""rated-user user-orange"" href=""/profile/2311"" title=""International master 2311"">2311</a>",Pune
9,23,"<a class=""rated-user user-orange"" href=""/profile/bits_dont_lie"" title=""Master bits_dont_lie"">bits_dont_l ie</a>",Indian Institute of Technology - Delhi,"<a class=""rated-user user-orange"" href=""/profile/ankeshgupta007"" title=""Master ankeshgupta007"">ankeshgupta 007</a>","<a class=""rated-user user-violet"" href=""/profile/mathmaniac"" title=""Candidate master mathmaniac"">mathmaniac</a>","<a class=""rated-user user-violet"" href=""/profile/thelonesailor"" title=""Candidate master thelonesailor"">thelonesail or</a>","<a class=""rated-user user-orange"" href=""/profile/2295"" title=""Master 2295"">2295</a>",Gwalior
10,13,"<a class=""rated-user user-orange"" href=""/profile/TooLazy"" title=""Master TooLazy"">TooLazy</a>",Indian Institute of Technology - Madras,"<a class=""rated-user user-orange"" href=""/profile/MegaBidoof "" title=""Master MegaBidoof "">MegaBidoof</a>","<a class=""rated-user user-violet"" href=""/profile/TooObvious"" title=""Candidate master TooObvious"">TooObvious</a>","<a class=""rated-user user-blue"" href=""/profile/TooDifferent"" title=""Expert TooDifferent"">TooDifferen t</a>","<a class=""rated-user user-orange"" href=""/profile/2262"" title=""Master 2262"">2262</a>",Pune
